discount,discounted_price,name,original_price,product_id,product_info,product_url,total_reviews
,,Pocket Front Long Sleeve Christmas Hoodie,29.99,1790357,Material:Cotton Blends;Shirt Length:Regular;Sleeve Length:Full;Style:Fashion;Weight:0.500kg;Package Contents:1 x Hoodie,https://www.dresslily.com/pocket-front-christmas-hoodie-product1790357.html,
,,Cat Letter Print Pocket Drawstring Hoodie,36.99,3218602,"Clothes Type:Hoodie;Occasion:Daily,Going Out;Style:Cute;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Cotton,Polyester;Thickness:Regular;Patterns:Animal;Season:Fall,Spring;Weight:0.5000kg;Package Contents:1 x Hoodie",https://www.dresslily.com/cat-letter-print-pocket-drawstring-product3218602.html,2
,,Christmas Snowman Print Hoodie,26.99,5293687,"Clothes Type:Hoodie;Occasion:Christmas Day;Style:Fashion;Fit Type:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Snowman;Season:Fall,Winter;Weight:0.3710kg;Package Contents:1 x Hoodie",https://www.dresslily.com/christmas-snowman-print-hoodie-product5293687.html,
,,Allover Tribal Print Kangaroo Pocket Hoodie,35.99,8161295,"Clothes Type:Hoodie;Occasion:Daily,Going Out;Style:Fashion;Fit Type:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Thickness:Regular;Patterns:Tribal Print;Season:Fall,Spring;Weight:0.6000kg;Package Contents:1 x Hoodie",https://www.dresslily.com/allover-tribal-print-kangaroo-pocket-product8161295.html,
,,Marvel Spider-Man Cartoon Puzzle Pattern Pullover Hoodie,32.99,8356280,"Clothes Type:Hoodies;Style:Casual;Pattern Type:Cartoon;Material:Polyester,Polyurethane;Shirt Length:Regular;Sleeve Length:Full;Season:Fall,Spring;Weight:0.5500kg;Package Contents:1 x Hoodie",https://www.dresslily.com/marvel-spider-man-cartoon-puzzle-product8356280.html,
46,42.89,Colorful Block 3D Print Kangaroo Pocket Hoodie,22.99,8362964,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Fabric Stretch:Slight Stretch;Thickness:Regular;Patterns:3D Print,Others;Season:Fall,Spring,Winter;Weight:0.5300kg;Package Contents:1 x Hoodie",https://www.dresslily.com/colorful-block-3d-print-kangaroo-product8362964.html,
,,Casual Pockets Zip Up Outwear Hoodie,26.99,4201013,"Clothes Type:Hoodie Jacket;Occasion:Daily,Going Out,Halloween,Home,Night Out;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Cotton,Polyester;Thickness:Thin;Closure Type:Zipper;Patterns:Solid;Season:Fall;Weight:0.4500kg;Package Contents:1 x Hoodie",https://www.dresslily.com/casual-pockets-zip-up-outwear-product4201013.html,
64,63.18,Zip Embellished Pullover Hoodie,22.99,5897502,"Clothes Type:Hoodie;Occasion:Daily Use;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Thickness:Regular;Patterns:Solid;Season:Fall,Winter;Weight:0.6720kg;Package Contents:1 x Hoodie",https://www.dresslily.com/zip-embellished-pullover-hoodie-product5897502.html,
,,Pocket Decoration Print Hoodie,33.99,8152465,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Print;Season:Fall,Spring;Weight:0.5900kg;Package Contents:1 x Hoodie",https://www.dresslily.com/pocket-decoration-print-long-sleeved-product8152465.html,
,,Christmas Geometry Pattern Long Sleeve Pullover Hoodie,29.99,5524190,"Clothes Type:Hoodies;Style:Casual;Pattern Type:Snowman;Material:Polyester;Shirt Length:Regular;Sleeve Length:Full;Season:Winter,Fall;Weight:0.4890kg;Package Contents:1 x Hoodie",https://www.dresslily.com/christmas-geometry-pattern-long-sleeve-product5524190.html,
,,Color Block Zip Up Baseball Jacket,54.99,4298834,"Closure Type:Zipper;Clothes Type:Jackets;Shirt Length:Regular;Collar:Stand Collar;Material:Cotton,Polyester;Occasion:Casual;Season:Fall,Winter;Sleeve Length:Long Sleeves;Weight:1.0350kg;Package Contents:1 x Jacket",https://www.dresslily.com/color-block-zip-up-baseball-product4298834.html,
64,39.89,Novelty Printed Kangaroo Pocket Drawstring Hoodie,14.5,8244581,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Thickness:Regular;Patterns:Print;Season:Fall,Spring,Winter;Weight:0.4950kg;Package Contents:1 x Hoodie",https://www.dresslily.com/novelty-printed-kangaroo-pocket-drawstring-product8244581.html,11
56,48.17,Contrast Fire Character Print Kangaroo Pocket Hoodie,20.99,8362970,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Fabric Stretch:Slight Stretch;Thickness:Regular;Patterns:Others;Season:Fall,Spring,Winter;Weight:0.5500kg;Package Contents:1 x Hoodie",https://www.dresslily.com/contrast-fire-character-print-kangaroo-product8362970.html,
53,48.83,3D Print Pharaoh Front Pocket Drawstring Hoodie,22.99,8367651,"Clothes Type:Hoodie;Occasion:Daily;Style:Fashion;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Fabric Stretch:Slight Stretch;Thickness:Regular;Patterns:3D Print;Season:Fall,Spring,Winter;Weight:0.5400kg;Package Contents:1 x Hoodie",https://www.dresslily.com/3d-print-pharaoh-front-pocket-product8367651.html,
,,Christmas Trees Santa Claus Print Hoodie,29.99,8210911,"Clothes Type:Hoodie;Occasion:Christmas Day;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Polyester;Thickness:Regular;Patterns:Santa Claus;Season:Fall,Spring,Winter;Weight:0.4500kg;Package Contents:1 x Hoodie",https://www.dresslily.com/christmas-trees-santa-claus-print-product8210911.html,
57,39.41,Button Decoration Casual Hoodie,16.99,8215500,"Clothes Type:Hoodie;Occasion:Daily,Going Out;Style:Casual;Fit Type:Regular;Sleeve Length:Full;Material:Cotton,Polyester;Thickness:Regular;Patterns:Others;Season:Fall,Spring,Winter;Weight:0.4400kg;Package Contents:1 x Hoodie",https://www.dresslily.com/button-decoration-long-sleeves-casual-product8215500.html,
,,53 Graphic Pullover Leaves Hoodie,34.99,2937705,"Occasion:Casual ,Daily Use,Going Out,Sports;Style:Casual;Shirt Length:Regular;Sleeve Length:Full;Material:Cotton,Polyester,Spandex;Thickness:Regular;Patterns:Leaves,Letter and Number;Weight:0.5500kg;Package Contents:1 x Hoodie",https://www.dresslily.com/53-graphic-pullover-leaves-hoodie-product2937705.html,
44,41.09,Planet Galaxy Print Kangaroo Pocket Hoodie,22.99,8355687,"Clothes Type:Hoodie;Occasion:Daily;Style:Casual;Fit Type:Regular;Shirt Length:Regular;Sleeve Length:Full;Material:Polyester,Polyurethane;Thickness:Regular;Patterns:Galaxy;Season:Fall,Spring;Weight:0.4900kg;Package Contents:1 x Hoodie",https://www.dresslily.com/planet-galaxy-print-kangaroo-pocket-product8355687.html,
